"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"80" 80 99920 94792 160 0.93899 57408 77 154 0 78 2 79 42856 7064 1 7065 42856 80 49999 49921
"81" 81 99919 65045 160 1.1791 24785 79 158 1 78 2 79 42857 7063 1 7064 42856 81 49999 49920
"82" 82 99918 71477 162 1.0064 65045 81 160 1 79 2 80 42856 7063 1 7064 42855 82 49999 49919
"83" 83 99917 21500 164 0.95094 71477 82 162 1 80 2 81 42855 7063 1 7064 42854 83 49999 49918
"84" 84 99916 52651 166 1.1996 57408 77 154 1 81 2 82 42855 7062 1 7063 42854 84 49999 49917
"85" 85 99915 12909 168 1.2114 52651 84 166 1 82 2 83 42854 7062 1 7063 42853 85 49999 49916
"86" 86 99914 17590 170 0.73631 12909 85 168 1 83 2 84 42854 7061 1 7062 42853 86 49999 49915
"87" 87 99913 18199 172 0.57729 17590 86 170 1 84 2 85 42853 7061 1 7062 42852 87 49999 49914
"88" 88 99912 34232 174 0.90363 17590 86 170 1 85 2 86 42853 7060 1 7061 42852 88 49999 49913
"89" 89 99911 65062 176 0.9791 18199 87 172 1 86 2 87 42852 7060 1 7061 42851 89 49999 49912
"90" 90 99910 47163 178 1.0018 65062 89 176 1 87 2 88 42852 7059 1 7060 42851 90 49999 49911
"91" 91 99909 18374 180 1.1136 47163 90 178 1 88 2 89 42852 7058 1 7059 42851 91 49999 49910
"92" 92 99908 251 182 0.49116 18374 91 180 1 89 2 90 42851 7058 1 7059 42850 92 49999 49909
"93" 93 99907 24121 184 0.67876 251 92 182 1 90 2 91 42851 7057 1 7058 42850 93 49999 49908
"94" 94 99906 4815 186 0.59156 24121 93 184 1 91 2 92 42850 7057 1 7058 42849 94 49999 49907
"95" 95 99905 45239 188 0.21456 4815 94 186 1 92 2 93 42850 7056 1 7057 42849 95 49999 49906
"96" 96 99904 57987 190 0.71822 4815 94 186 1 93 2 93 42850 7056 2 7056 42848 96 49999 49905
"97" 97 99903 71836 192 1.0869 251 92 182 1 94 2 94 42849 7056 2 7056 42847 97 49999 49904
"98" 98 99902 64393 194 1.1174 12909 85 168 1 95 2 95 42849 7055 2 7055 42847 98 49999 49903
"99" 99 99901 7516 196 0.44077 64393 98 194 1 96 2 96 42848 7055 2 7055 42846 99 49999 49902
"100" 100 99900 81757 198 0.99414 7516 99 196 1 97 2 97 42847 7055 2 7055 42845 100 49999 49901
"101" 101 99899 54703 198 1.0209 81757 100 198 2 97 2 97 42848 7054 2 7054 42845 101 49999 49900
"102" 102 99898 20960 200 0.53311 54703 101 198 2 98 2 98 42846 7055 2 7055 42843 102 49999 49899
"103" 103 99897 46902 202 0.79123 54703 101 198 2 99 2 99 42845 7055 2 7055 42842 103 49999 49898
"104" 104 99896 73856 204 0.86352 20960 102 200 2 100 2 100 42844 7055 2 7055 42841 104 49999 49897
"105" 105 99895 2945 206 1.18 73856 104 204 2 101 2 101 42843 7055 2 7055 42840 105 49999 49896
"106" 106 99894 38100 208 0.75808 2945 105 206 2 102 2 102 42843 7054 2 7054 42840 106 49999 49895
"107" 107 99893 66319 210 0.96616 38100 106 208 2 103 2 103 42842 7054 2 7054 42839 107 49999 49894
"108" 108 99892 40298 212 0.26813 66319 107 210 2 104 2 104 42841 7054 2 7054 42838 108 49999 49893
"109" 109 99891 62688 214 0.5662 66319 107 210 2 105 2 105 42841 7053 2 7053 42838 109 49999 49892
"110" 110 99890 63612 216 0.7252 62688 109 214 2 106 2 106 42840 7053 2 7053 42837 110 49999 49891
